network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
1.0.0.0/24,8349238,2077456,,0,0,5107,-34.7825,138.6106,100
1.0.1.0/24,1811017,1814991,,0,0,,24.4798,118.0819,50
1.0.2.0/23,1811017,1814991,,0,0,,24.4798,118.0819,50
1.0.4.0/22,2077456,2077456,,0,0,,-33.4940,143.2104,1000
1.0.8.0/21,1809935,1814991,,0,0,,23.1167,113.2500,50
1.0.16.0/20,1861060,1861060,,0,0,,35.6900,139.6900,500
1.0.32.0/19,1809935,1814991,,0,0,,23.1167,113.2500,50
1.0.64.0/23,1862415,1861060,,0,0,736-0086,34.3409,132.5311,50
1.0.66.0/24,1863018,1861060,,0,0,738-0054,34.3231,132.3117,50
1.0.67.0/24,1850147,1861060,,0,0,102-0082,35.6882,139.7532,5
1.0.68.0/23,1863018,1861060,,0,0,738-0013,34.3500,132.3333,20
1.0.70.0/23,1862415,1861060,,0,0,731-0125,34.4586,132.4630,20
1.0.72.0/23,1862415,1861060,,0,0,739-0313,34.4299,132.5910,20
1.0.74.0/24,1862415,1861060,,0,0,734-0003,34.3401,132.4439,20
1.0.75.0/25,1862415,1861060,,0,0,731-0122,34.4524,132.4782,20
1.0.75.128/25,1862415,1861060,,0,0,731-5143,34.3721,132.3469,20
1.0.76.0/22,1862415,1861060,,0,0,739-0313,34.4299,132.5910,20
1.0.80.0/22,1857550,1861060,,0,0,690-0826,35.4726,133.0679,5
1.0.84.0/23,1848277,1861060,,0,0,683-0009,35.4240,133.3594,100
1.0.86.0/24,1858311,1861060,,0,0,713-8103,34.5337,133.6546,20
1.0.87.0/24,1857550,1861060,,0,0,690-2102,35.4000,133.1167,100
1.0.88.0/23,1849892,1861060,,0,0,680-0001,35.5314,134.2118,5
1.0.90.0/23,1848276,1861060,,0,0,683-0831,35.4349,133.3587,20
1.0.92.0/23,1854383,1861060,,0,0,703-8241,34.6154,133.6852,200
1.0.94.0/23,1854383,1861060,,0,0,700-0011,34.6823,133.9235,5
1.0.96.0/22,1849892,1861060,,0,0,680-0012,35.5000,134.2333,100
1.0.100.0/22,1849890,1861060,,0,0,682-0721,35.4119,133.8125,20
1.0.104.0/23,1854383,1861060,,0,0,702-8035,34.5298,133.7390,20
1.0.106.0/23,1849892,1861060,,0,0,680-0012,35.5000,134.2333,100
1.0.108.0/22,1861084,1861060,,0,0,693-0051,35.3667,132.7333,100
1.0.112.0/22,1848277,1861060,,0,0,683-0803,35.4333,133.3333,20
1.0.116.0/23,1857550,1861060,,0,0,690-0814,35.4498,133.0435,20
1.0.118.0/23,1858301,1861060,,0,0,682-0311,35.4333,133.8167,100
1.0.120.0/23,1849892,1861060,,0,0,682-0712,35.5417,134.1000,50
1.0.122.0/24,1854383,1861060,,0,0,703-8286,34.6500,133.9333,100
1.0.123.0/24,1848277,1861060,,0,0,683-0004,35.4490,133.3551,100
1.0.124.0/24,1849892,1861060,,0,0,680-0012,35.5000,134.2333,100
1.0.125.0/24,1857550,1861060,,0,0,690-0877,35.4498,133.0435,100
1.0.126.0/24,1857550,1861060,,0,0,690-0012,35.4436,133.0788,50
1.0.127.0/24,1848482,1861060,,0,0,692-0011,35.4215,133.2422,50
1.0.128.0/23,1608452,1605651,,0,0,55140,19.1000,100.8167,1000
1.0.130.0/23,1606147,1605651,,0,0,90000,7.1988,100.5951,100
1.0.132.0/23,1607532,1605651,,0,0,13000,14.3738,100.5631,1000
1.0.134.0/24,1609032,1605651,,0,0,15000,14.8000,100.6167,1000
1.0.135.0/24,1607532,1605651,,0,0,13000,14.3738,100.5631,1000
1.0.136.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.138.0/24,1609350,1605651,,0,0,10140,13.6855,100.5003,1000
1.0.139.0/24,1607017,1605651,,0,0,21110,12.7833,101.6500,100
1.0.140.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.144.0/20,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.160.0/24,1150515,1605651,,0,0,84000,9.1308,99.3628,100
1.0.161.0/25,1150515,1605651,,0,0,84000,9.1308,99.3628,100
1.0.161.128/25,1150965,1605651,,0,0,85000,9.9667,98.6333,100
1.0.162.0/23,1150515,1605651,,0,0,84000,9.1308,99.3628,100
1.0.164.0/22,1150515,1605651,,0,0,84000,9.1308,99.3628,100
